PlotID,Sub-plot,Species,Tree_class,DBH,Height_class,Height,Crown_base_height,Insect,Comments,Notes
FR01,A2,At,8,1.9,NA,4,NA,NA,NA,NA
FR01,A2,Pl,8,2.2,NA,3,NA,NA,NA,NA
FR01,A2,Pl,1,3.1,NA,6,NA,NA,NA,NA
FR01,A2,Pl,1,4.2,NA,10,NA,NA,NA,NA
FR01,A2,At,1,2.8,NA,6,NA,NA,NA,NA
FR01,A2,Pl,1,4.9,NA,10,NA,NA,NA,NA
FR01,A2,Pl,8,4.8,NA,9,NA,NA,NA,NA
FR01,A2,At,1,3.9,NA,9,NA,NA,NA,NA
FR01,A2,Pl,1,2.7,NA,4,NA,NA,NA,NA
FR01,A2,Pl,1,4.5,NA,10,NA,NA,NA,NA
FR01,A2,At,1,2.9,NA,6,NA,NA,NA,NA
FR01,A2,Pl,1,3.8,NA,8,NA,NA,NA,NA
FR01,A2,Pl,1,1.8,NA,3,NA,NA,NA,NA
FR01,A2,Pl,1,2.5,NA,4,NA,NA,NA,NA
FR01,A2,At,8,3.4,NA,7,NA,NA,NA,NA
FR01,A2,Pl,1,2.1,NA,3,NA,NA,NA,NA
FR01,A2,At,8,3.3,NA,4,NA,NA,NA,NA
FR01,A2,Pl,1,2.7,NA,4,NA,NA,NA,NA
FR01,A2,Pl,1,1.9,NA,2,NA,NA,NA,NA
FR01,A2,Pl,1,3.8,NA,9,NA,NA,NA,NA
FR01,A2,Pl,1,2.5,NA,5,NA,NA,NA,NA
FR01,A2,Pl,1,3.2,NA,6,NA,NA,NA,NA
FR01,A2,Pl,1,4.5,NA,9,NA,NA,NA,NA
FR01,A2,Pl,1,1.7,NA,3,NA,NA,NA,NA
FR01,A2,Pl,1,2.2,NA,6,NA,NA,NA,NA
FR01,A2,Pl,1,1.3,NA,2,NA,NA,NA,NA
FR02,A2,Pl,8,1.5,NA,2.5,NA,NA,NA,NA
FR02,A2,Pl,1,2.6,NA,5,NA,NA,NA,NA
FR02,A2,Pl,1,2.5,NA,6,NA,NA,NA,NA
FR02,A2,Pl,8,1.5,NA,2.5,NA,NA,NA,NA
FR02,A2,Pl,1,3.8,NA,9,NA,NA,NA,NA
FR02,A2,Pl,1,2.9,NA,6,NA,NA,NA,NA
FR02,A2,Pl,1,2.7,NA,6,NA,NA,NA,NA
FR02,A2,Pl,1,3,NA,8,NA,NA,NA,NA
FR02,A2,Pl,1,4.2,NA,12,NA,NA,NA,NA
FR02,A2,Pl,1,3.9,NA,11,NA,NA,NA,NA
FR02,A2,Pl,1,4.8,NA,9,NA,NA,NA,NA
FR02,A2,Pl,1,3.9,NA,7,NA,NA,NA,NA
FR02,A2,Pl,1,3.8,NA,8,NA,NA,NA,NA
FR02,A2,Pl,1,2.8,NA,7,NA,NA,NA,NA
FR02,A2,Pl,1,2.5,NA,3,NA,NA,NA,NA
FR02,A2,At,1,4.7,NA,7,NA,NA,NA,NA
FR02,A2,Pl,8,3,NA,4,NA,NA,NA,NA
FR02,A2,At,8,2.3,NA,4,NA,NA,NA,NA
FR02,A2,At,8,2.3,NA,2,NA,NA,NA,NA
FR02,A2,Pl,8,2.3,NA,4,NA,NA,NA,NA
FR02,A2,Pl,1,3.2,NA,8,NA,NA,NA,NA
