PlotID,Sub-plot,Species,Tree_class,DBH,Height_class,Height,Crown_base_height,Insect,Comments
FR01,B1,NA,NA,NA,NA,NA,NA,NA,no trees
FR02,B1,Pl,1,13.6,NA,13.7,7.7,N,NA
FR02,B1,Pl,1,14.9,NA,13.6,6.1,N,NA
FR03,B1,NA,NA,NA,NA,NA,NA,NA,no trees
FR04,B1,Pl,1,14.5,1,12.8,9.1,N,NA
FR04,B1,Pl,2,16.8,1,13.9,8.2,blister rust,NA
FR04,B1,Pl,1,14.6,1,15.1,8.6,N,NA
FR04,B1,Pl,1,17.7,1,13.9,7.5,N,NA
FR04,B1,Pl,1,14.2,1,14.2,7.2,N,NA
FR04,B1,Pl,1,16.7,1,14,8,N,NA
FR04,B1,Pl,1,14.5,1,14.5,8,N,NA
FR04,B1,Pl,1,14.8,1,13,8,N,NA
FR04,B1,Pl,1,20.6,1,15,9,N,forked
FR04,B1,Pl,1,16.8,1,14,9,N,forked
FR04,B1,Pl,2,12.9,1,12.5,7,gall,NA
FR04,B1,Pl,1,19,1,15,8,N,NA
FR04,B1,Pl,1,15.1,1,13.8,7,N,NA
FR04,B1,Pl,1,16.4,1,14.5,7,N,NA
FR04,B1,Pl,1,13.5,1,13,7,N,NA
FR04,B1,Pl,1,16.3,1,15,9,N,NA
FR04,B1,Pl,1,16,1,15,8,N,NA
FR04,B1,Pl,1,14.2,1,14,8,N,NA
FR04,B1,Pl,1,16.4,1,14,8,N,NA
FR04,B1,Pl,1,14.1,1,12.2,8,N,NA
FR04,B1,Pl,1,13.2,1,13,9,N,NA
FR04,B1,Pl,1,14.9,1,13,9,N,NA
FR04,B1,Pl,1,12.9,1,12.9,6,N,NA
FR04,B1,Pl,1,15.6,1,13,8,N,NA
FR04,B1,Pl,1,14.8,1,14,7,N,NA
FR04,B1,Pl,1,14.5,1,12.5,7,N,NA
FR04,B1,Pl,1,15,1,12.5,8,N,NA
FR04,B1,Pl,1,12.7,1,12,8,N,forked
FR04,B1,Pl,1,14.6,1,12,6,N,NA
FR04,B1,Pl,1,17.6,1,15,8,N,NA
FR04,B1,Pl,1,14.6,1,14,6,N,NA
FR04,B1,Pl,2,15.9,1,14,7,gall,forked
FR04,B1,Pl,1,15.1,1,15,7,N,NA
FR04,B1,Pl,1,17.2,1,15,6,N,NA
FR04,B1,Pl,1,17.8,1,13,6,N,NA
FR04,B1,Pl,1,19.9,1,14,7,N,NA
FR04,B1,Pl,1,15.3,1,15,8,N,NA
FR04,B1,Pl,1,14.8,1,13.5,6,N,NA
FR04,B1,Pl,1,14,1,14,8,N,NA
FR04,B1,Pl,1,14.5,1,14,9,N,NA
FR04,B1,Pl,1,15.5,1,14,8,N,NA
FR04,B1,Pl,1,16.3,1,15,8,N,NA
FR04,B1,Pl,1,15,1,14.5,7,N,NA
FR04,B1,Pl,1,12.7,1,13,6,N,NA
FR04,B1,Pl,1,13,1,13,6,N,NA
FR04,B1,Pl,1,13.1,1,13,5,N,forked
FR04,B1,Pl,1,16.9,1,14,8,N,NA
FR04,B1,Pl,1,16.1,1,14,9,N,NA
FR04,B1,Pl,1,15.7,1,14,8,N,NA
FR04,B1,Pl,1,12.8,1,13,8,N,NA
FR04,B1,Pl,1,13.7,1,13.5,7,gall,NA
FR04,B1,Pl,1,14.4,1,15,7,N,NA
FR04,B1,Pl,1,13.7,1,13,7,gall,NA
FR04,B1,Pl,1,14.3,1,14,6,N,NA
FR04,B1,Pl,1,14.9,1,14,7,N,NA
FR04,B1,Pl,1,15.6,1,14.5,7,N,NA
FR04,B1,Pl,1,16.5,1,15,8,N,NA
FR04,B1,Pl,1,16,1,15,6,N,NA
FR04,B1,Pl,1,12.8,1,13,7,N,NA
FR04,B1,Ac,1,15.8,1,13.5,7,N,NA
FR04,B1,Pl,1,20.8,1,15,8,N,NA
FR04,B1,Pl,1,16,1,15,9,N,NA
FR04,B1,Pl,1,14.1,1,14,8,N,NA
FR04,B1,Pl,1,15.9,1,14.5,9,N,NA
FR04,B1,Pl,1,15.9,1,14.5,7,N,NA
FR04,B1,Pl,1,14.5,1,14,8,N,NA
FR04,B1,Pl,1,16.7,1,15,8,N,NA
FR04,B1,Pl,1,13.6,1,13,8,N,NA
FR04,B1,Pl,1,14.3,1,14,9,N,NA
FR04,B1,Pl,1,14.9,1,14,9,N,NA
FR04,B1,Pl,1,14,1,14,7,N,NA
FR04,B1,Pl,1,13.7,1,14,7,gall,NA
FR04,B1,Pl,1,14.2,1,14,9,N,NA
FR04,B1,Pl,1,15.3,1,13,8,N,NA
FR04,B1,Pl,1,13.7,1,13,8,N,NA
FR04,B1,Pl,1,13,1,14,8,N,NA
FR04,B1,Pl,1,16.3,1,15,9,N,NA
FR05,B1,Sx,5,23.2,NA,20.5,NA,N,char
FR05,B1,Sx,5,25.2,NA,23.1,NA,N,char
FR05,B1,Sx,5,41.6,NA,28.4,NA,N,char
FR05,B1,Sx,5,20.7,NA,18.6,NA,N,char
FR05,B1,Sx,5,20.7,NA,15.5,NA,N,burnt
FR05,B1,Sx,5,17.8,NA,14.9,NA,N,char
FR05,B1,Sx,5,17,NA,15,NA,N,burnt
FR05,B1,Sx,5,14.9,NA,9,NA,N,char
FR05,B1,Sx,5,41.6,NA,16.2,NA,N,broken top
FR05,B1,Sx,5,14,NA,12.2,NA,N,char
FR05,B1,Sx,5,15.5,NA,15.2,NA,N,char
FR05,B1,Sx,5,19.3,NA,15.8,NA,N,burnt
FR05,B1,Sx,5,14.3,NA,13.1,NA,N,burnt
FR05,B1,Sx,8,18.1,NA,14,NA,N,char
FR05,B1,Sx,5,74.9,NA,38.5,NA,N,burnt
FR05,B1,Sx,5,17.3,NA,15,NA,N,burnt
FR05,B1,UC,8,14,NA,5,NA,N,char
FR05,B1,UC,5,13.4,NA,13,NA,N,char
FR05,B1,UC,5,22.4,3,16,NA,N,burnt
FR06,B1,NA,NA,NA,NA,NA,NA,NA,no trees
FR07,B1,NA,NA,NA,NA,NA,NA,NA,no trees
FR08,B1,Pl,1,14.5,2,11.3,6,N,NA
FR08,B1,Pl,1,15.6,2,12.4,6,N,NA
FR08,B1,Pl,1,19.1,2,11.9,6,N,NA
FR08,B1,Pl,1,15.7,2,11.2,8,N,NA
FR08,B1,Pl,1,17.5,2,13,8,N,NA
FR08,B1,Pl,1,17,2,12.5,7,N,NA
FR08,B1,Pl,1,16.3,2,13,7,N,NA
FR08,B1,Pl,1,15.7,2,12,8,N,NA
FR08,B1,Pl,1,16.4,2,12,8,N,NA
FR08,B1,Pl,1,14,2,11.5,6,N,NA
FR08,B1,Pl,1,19.6,2,12.5,8,N,NA
FR08,B1,Pl,1,18,2,12.5,6,N,NA
FR08,B1,Pl,1,13.9,2,11,6,N,NA
FR08,B1,Pl,1,13.2,2,11,6,N,NA
FR08,B1,Pl,2,17.7,2,12.5,6,gall,forked
FR08,B1,Pl,1,16.2,2,12,7,N,NA
