ID,Date,HarvHist,Planted,CumBurnSev,CumBurnSevCat,Aspect,Slope_PC,SlopePos,FIRE_NUMBE,FIRE_NAME,FIRE_YEAR,area,CrownClos_per,UTM_zone,Easting,Northing,X,Y,BGC_LABEL,elevation
FR01,25-May-20,Yes,P,L,1,94,25,mid,R20116,ChinaKnows,2014,36246601.63,NA,09U,669076,6027851,974256.2378,1041019.15,SBS mc 2,1035
FR02,28-May-20,No,NP,LM,2,82,12,mid,R20011,Swiss,1983,215768101,60,09U,639207,6010896,943773.5208,1025302.225,SBS dk,753
FR03,11-Jun-20,No,P,M,3,20,10,mid,R20116,ChinaKnows,2014,36246601.63,0,09U,674883,6025620,979947.6018,1038536.466,SBS mc 2,971.36
FR04,12-Jun-20,No,P,M,3,96,5,mid,R20011,Swiss,1983,215768101,70,09U,648612,6011010,953149.9611,1025016.717,SBS mc 2,955
FR05,15-Jun-20,No,NP,MH,4,10,15,mid,R20116,ChinaKnows,2014,36246601.63,5,09U,673769,6026413,978871.2949,1039378.763,SBS mc 2,970.56
FR06,16-Jun-20,No,P,M,3,66,17,upper mid,R20116,ChinaKnows,2014,36246601.63,0,09U,672525,6027331,977671.188,1040350.888,SBS mc 2,1103.23
FR07,16-Jun-20,Yes,NP,LM,2,158,18,mid,R20116,ChinaKnows,2014,36246601.63,0,09U,673553,6027530,978702.5708,1040507.135,SBS mc 2,968.59
FR08,17-Jun-20,Yes,NP,L,1,10,23,mid,R20116,ChinaKnows,2014,36246601.63,70,09U,669265,6026926,974404.4615,1040083.155,SBS mc 2,1073.36
FR09,18-Jun-20,Yes,P,M,3,247,26,upper,R20116,ChinaKnows,2014,36246601.63,0,09U,670412,6027031,975551.9041,1040142.109,SBS mc 2,1154.7
FR10,18-Jun-20,No,NP,MH,4,267,28,mid,R20116,ChinaKnows,2014,36246601.63,10,09U,670096,6027354,975250.4134,1040472.372,SBS mc 2,1120.03
FR11,22-Jun-20,No,NP,M,3,172,28,mid,R20011,Swiss,1983,215768101,20,09U,648418,6012055,953001.0578,1026068.468,SBS mc 2,1040.92
FR12,23-Jun-20,No,NP,MH,4,282,1,level,R20052,KloCreek,2004,3319451.862,10,09U,663037,6015231,967708.4456,1028637.092,ESSFmc,1287.98
FR13,23-Jun-20,No,P,M,3,32,4,mid,R20052,KloCreek,2004,3319451.862,0,09U,663204,6015921,967899.5078,1029316.344,ESSFmc,1272.35
FR14,24-Jun-20,No,NP,H,5,270,30,mid,R20037,Griz,1991,3316987.669,0,09U,634452,6028764,939792.7,1043408.206,SBS mc 2,1028.46
FR15,24-Jun-20,No,NP,M,3,262,37,upper-mid,R20037,Griz,1991,3316987.669,0,09U,634533,6028479,939861.7738,1043119.559,SBS mc 2,1061.25
FR16,25-Jun-20,No,P,L,1,2,12,mid,R20037,Griz,1991,3316988,60,09U,635081,6029672,940458.6361,1044291.653,SBS mc 2,1054.58
FR17,25-Jun-20,No,P,LM,2,30,8,mid,R20037,Griz,1991,3316987.669,60,09U,636078,6030192,941474.6381,1044770.38,SBS mc 2,974
FR18,26-Jun-20,No,NP,L,1,336,5,lower,R20242,Parrot,2010,20290883.41,0,09U,655361,6333823,959443.8529,1014523.325,SBS mc 2,867.01
FR19,29-Jun-20,No,P,L,1,260,8,mid,R20011,Swiss,1983,215768101,40,09U,651358,6012587,955953.2356,1026479.535,SBS mc 2,920.55
FR20,29-Jun-20,No,NP,LM,2,253,28,mid,R20011,Swiss,1983,215768101,40,09U,644941,6007456,949343.9258,1021609.189,SBS mc 2,853.14
FR21,30-Jun-20,No,P,M,3,39,9,mid,R20242,Parrot,2010,20290883.41,0,09U,653797,6000835,957886.1881,1014601.772,SBS mc 2,937.89
FR22,01-Jul-20,No,NP,LM,2,54,7,mid,R00186,Paul,1961,97647480.07,30,09U,678067,6020388,982903.5368,1033151.268,SBS mc 2,1115.65
FR23,01-Jul-20,No,P,LM,2,46,6,mid,R00186,Paul,1961,97647480.07,60,09U,677112,6021353,981987.0091,1034166.522,SBS mc 2,1116.52
FR24,14-Jul-20,No,P,LM,2,150,22,mid,G40152,KenneyDam,2004,104644404.8,0,10U,370334,5940033,1068732.626,954704.3336,SBS dk,848.26
FR25,14-Jul-20,Yes,NP,MH,3,6,1,level,G40152,KenneyDam,2004,104644404.8,20,10U,377071,5949321,1075054.634,964294.1971,SBS dk,759.46
FR26,15-Jul-20,No,NP,L,1,6,5,mid,G40152,KenneyDam,2004,104644404.8,0,10U,373886,5942779,1072156.019,957604.1263,SBS dk,900
FR27,16-Jul-20,Yes,P,L,1,330,3,mid,G40152,KenneyDam,2004,104644404.8,20,10U,374373,5942929,1072635.486,957775.2406,SBS dk,899.92
FR28,17-Jul-20,No,NP,LM,2,58,2,level,G40152,KenneyDam,2004,104644404.8,10,10U,368825,5939532,1067246.545,954131.5618,SBS dk,876.29
FR29,17-Jul-20,No,NP,LM,2,346,2,level,G40152,KenneyDam,2004,104644404.8,20,10U,368442,5939841,1066852.031,954432.4136,SBS dk,898.39
FR30,18-Jul-20,No,NP,MH,4,152,22,mid,R10100,BintaLake,2010,390731343.3,0,10U,363780,5973508,1060786.096,987966.6571,SBS mc 2,1138
FR31,18-Jul-20,Yes,P,MH,4,10,10,mid,R10100,BintaLake,2010,390731343.3,0,10U,370074,5967080,1067330.594,981792.6119,SBS mc 2,1120.81
FR32,19-Jul-20,Yes,P,M,3,306,5,mid,R10100,BintaLake,2010,390731343.3,0,10U,375670,5961993,1073122.295,976932.4201,SBS dk,929
FR33,19-Jul-20,No,P,M,3,340,14,mid,R10100,BintaLake,2010,390731343.3,0,10U,374947,5959860,1072492.966,974764.4395,SBS dk,857.61
FR34,20-Jul-20,Yes,NP,L,1,110,14,mid,R10100,BintaLake,2010,390731343.3,30,10U,369614,5966543,1066894.396,981234.3422,SBS mc 2,1123
FR35,20-Jul-20,No,NP,MH,4,340,15,mid-upper,R10100,BintaLake,2010,390731343.3,0,10U,369613,5966242,1066907.335,980933.0911,SBS mc 2,1121.48
FR36,21-Jul-20,No,NP,L,1,322,2,mid,G00288,BigBend,1965,11057894.35,30,10U,384404,5936873,1082888.707,952131.7739,SBS dk,935.9
FR37,21-Jul-20,No,NP,L,1,42,3,upper-mid,G40152,KenneyDam,2004,104644404.8,20,10U,370097,5939117,1068534.085,953775.4996,SBS dk,860.6
FR38,23-Jul-20,Yes,P,LM,2,246,18,mid,G40100,Chilako,2005,100182389.7,5,10U,442637,5933665,1141070.305,951377.8578,SBS dw 2,857.69
FR39,23-Jul-20,No,NP,M,3,42,5,mid,G40100,Chilako,2005,100182389.7,10,10U,441119,5933762,1139553.269,951410.2292,SBS dw 2,877.03
FR40,24-Jul-20,No,NP,LM,2,30,33,mid,G40100,Chilako,2005,100182389.7,5,10U,441185,5931679,1139707.267,949326.3674,SBS dw 2,831
FR41,24-Jul-20,No,P,M,3,292,5,mid,G40100,Chilako,2005,100182389.7,0,10U,438783,5931230,1137330.301,948772.8028,SBS dw 2,818.83
FR42,25-Jul-20,No,P,M,3,161,8,mid,G00194,WillingtonLake,1960,20500352.66,40,10U,399109,5937306,1097527.543,953187.0057,SBS mc 3,1065.34
FR43,26-Jul-20,Yes,P,L,1,160,8,md,G40014,FrankLake,1987,14745468.88,30,10U,426590,5949320,1124410.243,966387.3615,SBS mc 2,1271.06
FR44,26-Jul-20,No,P,M,3,107,12,mid,G40014,FrankLake,1987,14745468.88,30,10U,427575,5950203,1125355.975,967313.6561,SBS mc 2,1231.29
FR45,28-Jul-20,No,NP,L,1,22,32,mid,G00315,Louie,1961,47005364.25,25,10U,367327,5976417,1064198.175,991027.5532,SBS mc 2,1141.69
FR46,28-Jul-20,No,P,L,1,160,7,mid,G00315,Louie,1961,47005364.25,30,10U,363360,5977448,1060200.77,991896.7751,SBS dk,959.6
