PlotID,Transect,Bearing_deg,Slope_%,Species,Location_m,Diam_cm,Decay_class,char_depth_mm,Stump_height_cm,Notes
FR01,1,4,,UC,9.7,8.4,3,,,
FR01,1,4,,UC,8.5,22.3,3,,,
FR01,1,4,,UC,5.2,27.2,3,,,
FR01,1,4,,Pl,22.3,9.7,2,,,
FR01,1,4,,UC,22,8.4,3,,,
FR01,1,4,,UC,21.7,9.4,3,,,
FR01,1,4,,UC,18.6,12.7,3,,,
FR01,1,4,,UC,13.7,13.2,3,,,
FR01,1,4,,Pl,13.2,9.4,2,,,
FR01,1,4,,Sx,8.5,9.5,2,,,
FR01,1,4,,UC,3.2,16.3,3,,,
FR01,1,4,,UC,0.4,10.5,3,,,
FR01,1,4,,Pl,1.6,12.2,2,,,
FR01,1,4,,UC,2.2,8.8,2,,,
FR01,1,4,,UC,2.6,11,2,,,
FR01,1,4,,UC,3.7,7.6,3,,,
FR01,1,4,,Pl,5.2,11,2,,,
FR01,2,94,,UC,2.7,20,3,,,
FR01,2,94,,UC,3.4,23.2,5,,,
FR01,2,94,,UC,1.9,30.4,4,,,
FR01,2,94,,UC,2.5,24.8,3,,,
FR01,2,94,,UC,3.2,14.4,4,,,
FR01,2,94,,Bl,7.2,8.5,2,,,
FR01,2,94,,UC,7.9,15.5,3,,,
FR01,2,94,,UC,10.2,9.5,2,,,
FR01,2,94,,Bl,12,8.4,2,,,
FR01,2,94,,UC,16.2,11.2,2,,,
FR01,2,94,,Pl,16.6,8.3,2,,,
FR01,2,94,,UC,17.8,28.5,4,,,
FR01,2,94,,UC,21.2,9.4,2,,,
FR01,2,94,,Pl,27.4,8.9,2,,,
FR01,2,94,,UC,28.7,8.2,2,,,
FR01,2,94,,UC,34.8,10.7,4,,,
FR02,1,242,12,UC,30.7,17.8,3,,,
FR02,1,242,12,UC,32.7,40.6,3,,,
FR02,1,242,12,UC,33.9,20.8,4,,,
FR02,1,242,12,UC,35.3,21.5,3,,,
FR02,1,242,12,UC,39.1,38.9,3,,,
FR02,1,242,12,UC,39.2,30.9,4,,,
FR02,1,242,12,UC,41.5,36.1,5,,,
FR02,1,242,12,UC,41.8,27.6,3,,,
FR02,1,242,12,Pl,43.9,7.8,3,,,
FR02,1,242,12,UC,44.2,10.5,4,,,
FR02,1,242,12,UC,44.4,17,5,,,
FR02,1,242,12,UC,50,29.2,4,,,
FR02,1,242,12,UC,49.4,17.2,4,,,
FR02,1,242,12,UC,48.7,10.4,4,,,
FR02,1,242,12,UC,3,21.9,4,,,
FR02,1,242,12,UC,5.1,8.6,3,,,
FR02,1,242,12,UC,5.5,13.7,3,,,
FR02,1,242,12,UC,7.7,35.2,3,,,
FR02,1,242,12,UC,9.7,9.7,4,,,
FR02,1,242,12,UC,9.9,30,3,,,
FR02,1,242,12,UC,11.2,33.9,3,,,
FR02,1,242,12,UC,15.3,35.1,3,,,
FR02,1,242,12,UC,15.6,11.6,4,,,
FR02,1,242,12,UC,18.3,15.7,4,,,
FR02,1,242,12,UC,20.6,13.4,3,,,
FR02,1,242,12,Pl,21,9.5,3,,,
FR02,1,242,12,UC,24,24.9,3,,,
FR02,1,242,12,UC,25.7,10.8,3,,,
FR02,1,242,12,UC,26.2,24.3,3,,,
FR02,2,332,6,UC,48.2,14.8,3,,,
FR02,2,332,6,UC,47.8,14.1,3,,,
FR02,2,332,6,UC,47.6,23.2,3,,,
FR02,2,332,6,UC,47,38.1,3,,,
FR02,2,332,6,UC,46.7,30.2,3,,,
FR02,2,332,6,UC,45.6,25.2,3,,,
FR02,2,332,6,UC,45.5,34.1,4,,,
