Plot,Line #,Bearing (deg),Slope 1 (%),Slope dist. 1,Slope 2 (%),Slope dist. 2,Slope 3 (%),Slope dist. 3,Slope 4 (%),Slope dist. 4,Horizontal_dist,%slope1/100,squared,plus 1,square root,HD of segment 1,,%slope2/100,squared,plus 1,square root,HD of segment 2,,%slope3/100,squared,plus 1,square root,HD of segment 3,,%slope4/100,squared,plus 1,square root,HD of segment 4,,Horizontal distance: adj. line length
FR01,1,4,,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR01,2,94,,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR02,1,242,12,50,,,,,,,,0.12,0.0144,1.0144,1.007174265,49.64384192,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.64384192
FR02,2,332,6,50,,,,,,,,0.06,0.0036,1.0036,1.001798383,49.91024227,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.91024227
FR03,1,312,3,50,,,,,,,,0.03,0.0009,1.0009,1.000449899,49.97751518,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.97751518
FR03,2,222,10,50,,,,,,,,0.1,0.01,1.01,1.004987562,49.75185951,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.75185951
FR04,1,212,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR04,2,122,4,50,,,,,,,,0.04,0.0016,1.0016,1.00079968,49.96004794,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.96004794
FR05,1,130,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR05,2,60,43,12.5,24,37.5,,,,,,0.43,0.1849,1.1849,1.08853112,11.48336484,,0.24,0.0576,1.0576,1.028396811,36.46452382,,0,0,1,1,0,,0,0,1,1,0,,47.94788867
FR06,1,240,18,50,,,,,,,,0.18,0.0324,1.0324,1.016070864,49.2091662,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.2091662
FR06,2,150,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR07,1,310,10,50,,,,,,,,0.1,0.01,1.01,1.004987562,49.75185951,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.75185951
FR07,2,220,5,50,,,,,,,,0.05,0.0025,1.0025,1.00124922,49.93761694,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.93761694
FR08,1,280,12,50,,,,,,,,0.12,0.0144,1.0144,1.007174265,49.64384192,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.64384192
FR08,2,190,20,50,,,,,,,,0.2,0.04,1.04,1.019803903,49.02903378,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.02903378
FR09,1,40,18,25,34,25,,,,,,0.18,0.0324,1.0324,1.016070864,24.6045831,,0.34,0.1156,1.1156,1.056219674,23.66931862,,0,0,1,1,0,,0,0,1,1,0,,48.27390172
FR09,2,130,10,50,,,,,,,,0.1,0.01,1.01,1.004987562,49.75185951,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.75185951
FR10,1,45,,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR10,2,135,,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR11,1,100,12,50,,,,,,,,0.12,0.0144,1.0144,1.007174265,49.64384192,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.64384192
FR11,2,190,11,50,,,,,,,,0.11,0.0121,1.0121,1.006031809,49.7002178,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.7002178
FR12,1,70,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR12,2,160,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR13,1,100,15,17,5,33,,,,,,0.15,0.0225,1.0225,1.011187421,16.811918,,0.05,0.0025,1.0025,1.00124922,32.95882718,,0,0,1,1,0,,0,0,1,1,0,,49.77074518
FR13,2,190,0,38.5,7,11.5,,,,,,0,0,1,1,38.5,,0.07,0.0049,1.0049,1.002447006,11.47192812,,0,0,1,1,0,,0,0,1,1,0,,49.97192812
FR14,1,10,22,50,,,,,,,,0.22,0.0484,1.0484,1.023914059,48.83222334,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,48.83222334
FR14,2,280,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR15,1,350,3,50,,,,,,,,0.03,0.0009,1.0009,1.000449899,49.97751518,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.97751518
FR15,2,260,42,50,,,,,,,,0.42,0.1764,1.1764,1.084619749,46.09910528,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,46.09910528
FR16,1,160,11,21,5,29,,,,,,0.11,0.0121,1.0121,1.006031809,20.87409147,,0.05,0.0025,1.0025,1.00124922,28.96381783,,0,0,1,1,0,,0,0,1,1,0,,49.8379093
FR16,2,250,9,50,,,,,,,,0.09,0.0081,1.0081,1.004041832,49.79872194,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.79872194
FR17,1,220,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
