PlotID,Sub-Plot,Species,Live/Dead,Height_class(cm),Tally,Notes
FR01,A1,Pl,L,0-30,7,
FR01,A1,Pl,L,31-130,6,
FR01,A1,Pl,D,0-30,0,
FR01,A1,Pl,D,31-130,0,
FR01,A1,Sx,L,0-30,10,
FR01,A1,Sx,L,31-130,0,
FR01,A1,Sx,D,0-30,0,
FR01,A1,Sx,D,31-130,0,
FR01,A1,At,L,0-30,0,
FR01,A1,At,L,31-130,0,
FR01,A1,At,D,0-30,0,
FR01,A1,At,D,31-130,0,
FR01,A1,Bl,L,0-30,0,
FR01,A1,Bl,L,31-130,0,
FR01,A1,Bl,D,0-30,0,
FR01,A1,Bl,D,31-130,0,
FR01,A1,Ac,L,0-30,0,
FR01,A1,Ac,L,31-130,0,
FR01,A1,Ac,D,0-30,0,
FR01,A1,Ac,D,31-130,0,
FR01,A1,Fd,L,0-30,0,
FR01,A1,Fd,L,31-130,0,
FR01,A1,Fd,D,0-30,0,
FR01,A1,Fd,D,31-130,0,
FR01,A1,Ep,L,0-30,0,
FR01,A1,Ep,L,31-130,0,
FR01,A1,Ep,D,0-30,0,
FR01,A1,Ep,D,31-130,0,
FR01,A1,Lw,L,0-30,0,
FR01,A1,Lw,L,31-130,0,
FR01,A1,Lw,D,0-30,0,
FR01,A1,Lw,D,31-130,0,
FR02,A1,Pl,L,0-30,1,
FR02,A1,Pl,L,31-130,1,
FR02,A1,Pl,D,0-30,0,
FR02,A1,Pl,D,31-130,0,
FR02,A1,Sx,L,0-30,1,
FR02,A1,Sx,L,31-130,1,
FR02,A1,Sx,D,0-30,0,
FR02,A1,Sx,D,31-130,0,
FR02,A1,At,L,0-30,0,
FR02,A1,At,L,31-130,0,
FR02,A1,At,D,0-30,0,
FR02,A1,At,D,31-130,0,
FR02,A1,Bl,L,0-30,0,
FR02,A1,Bl,L,31-130,0,
FR02,A1,Bl,D,0-30,0,
FR02,A1,Bl,D,31-130,0,
FR02,A1,Ac,L,0-30,0,
FR02,A1,Ac,L,31-130,0,
FR02,A1,Ac,D,0-30,0,
FR02,A1,Ac,D,31-130,0,
FR02,A1,Fd,L,0-30,0,
FR02,A1,Fd,L,31-130,0,
FR02,A1,Fd,D,0-30,0,
FR02,A1,Fd,D,31-130,0,
FR02,A1,Ep,L,0-30,0,
FR02,A1,Ep,L,31-130,0,
FR02,A1,Ep,D,0-30,0,
FR02,A1,Ep,D,31-130,0,
FR02,A1,Lw,L,0-30,0,
FR02,A1,Lw,L,31-130,0,
FR02,A1,Lw,D,0-30,0,
FR02,A1,Lw,D,31-130,0,
FR03,A1,Pl,L,0-30,2,
FR03,A1,Pl,L,31-130,2,
FR03,A1,Pl,D,0-30,0,
FR03,A1,Pl,D,31-130,0,
FR03,A1,Sx,L,0-30,10,
FR03,A1,Sx,L,31-130,3,
FR03,A1,Sx,D,0-30,0,
FR03,A1,Sx,D,31-130,0,
FR03,A1,At,L,0-30,0,
FR03,A1,At,L,31-130,3,
FR03,A1,At,D,0-30,0,
FR03,A1,At,D,31-130,0,
FR03,A1,Bl,L,0-30,0,
FR03,A1,Bl,L,31-130,0,
FR03,A1,Bl,D,0-30,0,
FR03,A1,Bl,D,31-130,0,
FR03,A1,Ac,L,0-30,0,
FR03,A1,Ac,L,31-130,0,
FR03,A1,Ac,D,0-30,0,
FR03,A1,Ac,D,31-130,0,
FR03,A1,Fd,L,0-30,0,
FR03,A1,Fd,L,31-130,0,
FR03,A1,Fd,D,0-30,0,
FR03,A1,Fd,D,31-130,0,
FR03,A1,Ep,L,0-30,0,
FR03,A1,Ep,L,31-130,0,
FR03,A1,Ep,D,0-30,0,
FR03,A1,Ep,D,31-130,0,
FR03,A1,Lw,L,0-30,0,
FR03,A1,Lw,L,31-130,0,
FR03,A1,Lw,D,0-30,0,
FR03,A1,Lw,D,31-130,0,
FR04,A1,Pl,L,0-30,0,
FR04,A1,Pl,L,31-130,0,
FR04,A1,Pl,D,0-30,0,
FR04,A1,Pl,D,31-130,0,
FR04,A1,Sx,L,0-30,0,
FR04,A1,Sx,L,31-130,0,
FR04,A1,Sx,D,0-30,0,
FR04,A1,Sx,D,31-130,0,
FR04,A1,At,L,0-30,0,
FR04,A1,At,L,31-130,0,
FR04,A1,At,D,0-30,0,
FR04,A1,At,D,31-130,0,
FR04,A1,Bl,L,0-30,0,
FR04,A1,Bl,L,31-130,0,
