ID,BulkDensity_ml,BDDepth,Wood_chunks_inFF,Black_C_wgt_inFF,ForFloor_DryWgt,Litter_DryWgt,MinSoil_TinWgt,MinSoilAll_DryWgt,Coarse_frag_weight_W_tin,Root_wgt_inMin,Black_C_wgt_inMin,Litter_Wgt_inMin,MinSoil_N_PC,MinSoil_C_PC,MinSoil_Sand_PC_hyd,MinSoil_Silt_PC_hyd,MinSoil_Clay_PC_hyd,MinSoil_Sand_PC_h202_hyd,MinSoil_Silt_PC_h202_hyd,MinSoil_Clay_PC_h202_hyd,Litter_N_PC,Litter_C_PC,Litter_S_PC,ForFloor_N_PC,ForFloor_C_PC,ForFloor_S_PC
FR01,1550,0.2,0,0,231.8,12.5,305.7,2690.5,1873,3.756,0.395,0,0.121579066,2.558055639,NA,NA,NA,51,36,13,1.3,33,0.094,0.94,24,0.069
FR02,1100,0.2,NA,NA,NA,NA,422.3,1931.4,904.5,5.51,1.927,0.58,0.086178154,2.107305527,46,40,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR03,1000,0.2,0,0,0.6,22.7,302.6,1347.1,801.6,5.715,2.062,0,0.185207188,7.640055656,NA,NA,NA,38,43,20,0.46,41,0.047,NA,NA,NA
FR04,885,0.2,4.8,0,94.9,125.9,407.4,1735.5,817.8,0.93,0.649,0.123,0.065213934,1.863348961,41,44,15,NA,NA,NA,0.66,44,0.064,0.62,26,0.068
FR05,1000,0.2,3.7,19.2,0,29.1,429.4,1688.7,1136.1,1.361,0.14,0,0.126450077,2.493607521,53,40,7.5,NA,NA,NA,0.53,46,0.046,NA,NA,NA
FR06,800,0.2,0,0,0,144.7,308.5,1429.7,963.2,0.131,0.135,0,0.067876667,1.03410542,58,30,13,NA,NA,NA,0.28,45,0.028,NA,NA,NA
FR07,1000,0.2,0.3,0.76,0,110.1,305.5,1504.3,983.9,4.006,3.18,0.019,0.105423912,1.99444592,35,53,13,NA,NA,NA,0.85,44,0.058,NA,NA,NA
FR08,1000,0.2,82.1,8.4,257.5,147.1,403,1222.5,711.5,4.143,0.26,0.08,0.097977966,2.045271397,45,43,13,NA,NA,NA,1.1,48,0.073,1.1,37,0.09
FR09,800,0.2,0,0,0,49.4,408.3,1346.8,959.1,3.825,0.405,0.133,0.118518732,2.493344307,55,36,8.8,NA,NA,NA,0.62,34,0.055,NA,NA,NA
FR10,1000,0.2,16.7,0,0,40.4,301.4,1321,748.6,1.073,0.123,0,0.114614286,2.906137705,NA,NA,NA,30,44,26,0.68,45,0.054,NA,NA,NA
FR11,900,0.2,21.1,1.5,636.2,184.2,306.8,1208.3,762,2.74,0.866,0,0.202093214,3.627193928,NA,NA,NA,51,31,18,1.2,47,0.077,1.1,31,0.077
FR12,1100,0.2,15.3,2.6,129.6,34.3,337.3,1095.3,725.1,3.587,1.233,0,0.333805293,8.484992981,NA,NA,NA,30,56,14,0.43,48,0.041,0.96,48,0.086
FR13,850,0.2,12.9,4.6,205.8,36.9,339.7,1185.6,784.1,2.666,0.569,0,0.177116439,4.797422409,NA,NA,NA,34,55,11,0.36,49,0.021,0.81,44,0.085
FR14,700,0.2,5.4,1.7,32.8,235.6,338.6,1156.7,851.8,1.873,1.383,0,0.346276373,6.302511215,NA,NA,NA,51,34,15,0.8,46,0.13,1.5,39,0.11
FR15,750,0.18,0.7,40.8,174.5,102.6,336.1,1210,841.1,1.207,0.031,0,0.125107095,2.578184605,48,38,15,NA,NA,NA,0.79,46,0.074,1.2,43,0.11
