Site ID,Treatment,Time since fire,dNBR severity,Field severity,Pre-fire forest management,Post-fire forest management,Field comments,TSF,dNBR,field_severity,pre_harvested,pre_planted,pre_site_prep,pre_thinned,pre_brushed,post_harvested,post_planted,post_site_prep,post_thinned,post_piled,post_burned,any_pre_management,any_post_management,post_disturbance_intensity,management_class
FR01,P,6,unburned,Low,"Immature forest. Harvested and planted (1994), manual brushing (2004).","Mechanical site preparation (2016), planting (2017).",Pile and burned.,6,unburned,Low,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,High,Pre + Post fire
FR02,NR,37,NA,low-moderate,"","","",37,,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR03,P,6,High,High,"","Harvested (2014), planted (2016).",Harvested post-fire. Not pile burned but a lot of fire evidence removed.,6,High,High,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,High,Post-fire only
FR04,P,37,NA,Moderate,"","Mechanical site preparation, grass seeded and fertilized (1988), planted twice (1990, 1999).",A lot of fire evidence removed. Appears harvested from satellite imagery.,37,,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR05,NR,6,High,moderate-high,"","","",6,High,moderate-high,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR06,P,6,Low,Moderate,"","Mechanical site preparation (2015), harvested (2018), planted (2016, 2017, 2020).","Harvested post-fire, pile and burned along road. No standing, trees all knocked down.",6,Low,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,High,Post-fire only
FR07,NR,6,unburned,low-moderate,"Immature forest at time of fire. Harvested, grass seeded, mechanical site preparation (1995), planted (1996).","",Harvested post-fire and site preparation. All small stumps have been cut and piled and burned throughout stand. Lots of natural regeneration but not planted.,6,unburned,low-moderate,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Low,Pre-fire only
FR08,NR,6,unburned,Low,"Immature forest at time of fire. Harvested and burned site prep (1988), mechanical site prep (1994), planted (1989), fill planted (1995).","","",6,unburned,Low,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low,Pre-fire only
FR09,P,6,High,Moderate,"Immature forest at time of fire. Harvested and mechanical site prep (1997), planted (1998). ","Mechanical site prep (2016), planted (2017).","Most burned trees knocked down, piles not burned yet.",6,High,Moderate,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,High,Pre + Post fire
FR10,NR,6,High,moderate-high,"","","",6,High,moderate-high,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
